"identifier","voertuigen","jaar","maand","wegcategorie","naam","stad"
"12653001796","51176.0","2014","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54060.0","2014","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53668.0","2014","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56254.0","2014","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54803.0","2014","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55633.0","2014","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51936.0","2014","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53492.0","2014","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57725.0","2014","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","58096.0","2014","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54085.0","2014","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","50781.0","2015","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54483.0","2015","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56306.0","2015","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55989.0","2015","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55535.0","2015","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","58409.0","2015","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","48855.0","2015","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51925.0","2015","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57457.0","2015","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57695.0","2015","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53098.0","2015","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","50997.0","2016","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54516.0","2016","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53807.0","2016","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55338.0","2016","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56788.0","2016","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57302.0","2016","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51436.0","2016","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","51856.0","2016","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57562.0","2016","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56923.0","2016","10","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54926.0","2016","11","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52238.0","2017","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55847.0","2017","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","58849.0","2017","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","56857.0","2017","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","59088.0","2017","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","59139.0","2017","6","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53463.0","2017","7","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","57470.0","2017","8","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","59371.0","2017","9","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
